"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"0110116662","特定健診・指導","医療法人社団杏友会リバーサイド内科循環器科クリニック","064-0807","011-521-2321","北海道札幌市中央区南七条西２－１　マンション第二リバーサイド１Ｆ","http://www.riversideclinic.or.jp","診療所　医療法人"
"0110116704","特定健診","南７条クリニック","064-0807","011-551-2121","北海道札幌市中央区南七条西９　内山ビル","","診療所　個人"
"0110116712","特定健診","医療法人社団高木医院","064-0808","011-561-0019","北海道札幌市中央区南八条西１８－１－１５","http://www.byoin-kensaku-hokkaido.net/2210.takagi.html","診療所　医療法人"
"0110116753","特定健診","ターミナル整形外科","064-0820","011-616-8887","北海道札幌市中央区大通西２７－１－１　円山バスターミナル２Ｆ","http://www7.plala.or.jp/termi","診療所　個人"
"0110116985","特定健診","宮の森三条内科クリニック","064-0953","011-616-0036","北海道札幌市中央区宮の森三条６－２－１０","http://www.miyanomori3clinic.com","診療所　個人"
"0110117058","特定健診・指導","医療法人社団東邦内科クリニック","060-0001","011-222-5040","北海道札幌市中央区北１条西４－２－２　札幌ノースプラザ３階","http://www.oval-m.com/toho/","診療所　医療法人"
"0110117157","特定健診・指導","医療法人社団結仁会浜田内科消化器科クリニック","060-0063","011-219-5555","北海道札幌市中央区南三条西２－１－１　Ｈ＆Ｂプラザ４Ｆ","http://www.gik.gr.jp/","診療所　医療法人"
"0110117207","特定健診・指導","医療法人社団土田病院","064-0921","011-531-7013","北海道札幌市中央区南二十一条西９－２－１１","http://www.tsuchida.or.jp","病院　医療法人"
"0110117355","特定健診","胃腸科・内科吉田裕司クリニック","060-0002","011-232-0030","北海道札幌市中央区北２条西３丁目１－２１　リー北２条ビル２階","http://kenshin-db.niph.go.jp/kenshin/","診療所　個人"
"0110117397","特定健診・指導","医療法人社団清水クリニック","064-0825","011-622-8985","北海道札幌市中央区北５条西２７－２－３　メディック２８　３階","http://www.k3.dion.ne.jp/~simiz-cl","診療所　医療法人"
"0110117520","特定健診","医療法人社団佐々木内科クリニック","060-0010","011-631-4329","北海道札幌市中央区北十条西２０－１－５","","診療所　医療法人"
"0110117660","特定健診","大通公園メンタルクリニック","060-0042","011-233-5255","北海道札幌市中央区大通西５　昭和ビル２階","http://www.hotto-station.com/","診療所　医療法人"
"0110117702","特定健診","医療法人社団清和会南札幌病院","064-0809","011-511-3368","北海道札幌市中央区南９条西７－１－２３","http://minamisapporo.or.jp","病院　医療法人"
"0110117785","特定健診・指導","創成東病院","060-0053","011-222-2117","北海道札幌市中央区南三条東３－１３","http://sousei-med.jp","病院　医療法人"
"0110117884","特定健診","医療法人社団慈昂会昂希内科クリニック","064-0823","011-611-2711","北海道札幌市中央区北三条西２４－１－２２","","診療所　医療法人"
"0110117934","特定健診","医療法人ＮＡＧＩさっぽろ大通り内分泌クリニック","060-0002","011-222-9372","北海道札幌市中央区北二条西１　マルイト札幌ビル２階","http://nagi-mc.com","診療所　医療法人"
"0110117959","特定健診","医療法人社団銀杏会さっぽろ銀杏会記念病院","064-0811","011-511-2060","北海道札幌市中央区南十一条西８－２－２５","","病院　医療法人"
"0110117975","特定健診","医療法人山美会札幌山鼻整形外科","064-0915","011-513-3030","北海道札幌市中央区南十五条西１１－１－３","","診療所　医療法人"
"0110118064","特定健診","医療法人社団小泉呼吸器科・内科クリニック","064-0801","011-632-8881","北海道札幌市中央区南一条西２７－１－４１","http://www.f8.dion.ne.jp/~edifel/","診療所　医療法人"
"0110118098","特定健診・指導","医療法人社団光星メディカルプラザ札幌健診クリニック","060-0005","011-209-5450","北海道札幌市中央区北五条西２－５　ＪＲタワーオフィスプラザさっぽろ８Ｆ","http://www.medical-plaza.com","診療所　医療法人"
"0110118114","特定健診","藤田外科・整形外科","064-0953","011-621-7256","北海道札幌市中央区宮の森三条７－１－６８","","診療所　個人"
"0110118122","特定健診","のだレディースクリニック","060-0011","011-708-0550","北海道札幌市中央区北十一条西１５－２－１","http://www.firstpass.net/noda-l-c","診療所　個人"
"0110118148","特定健診","社会（医）愛心館愛心循環器クリニック","060-8503","011-209-5250","北海道札幌市中央区北５条西　ＪＲタワーオフィスプラザさっぽろ８Ｆ","http://www.aishinkan.jp/jc/index.html","診療所　医療法人"
"0110118338","特定健診","伏見啓明整形外科札幌骨粗鬆症クリニック","064-0914","011-563-8400","北海道札幌市中央区南十四条西１９－１－１","http://fushimikeimei.web.fc2.com","診療所　医療法人"
"0110118361","特定健診・指導","札幌中央ファミリークリニック","060-0061","011-272-3455","札幌市中央区南一条西１１丁目３２７ワンズ南一条ビル６Ｆ","","診療所　個人"
"0110118395","特定健診","田代内科呼吸器科クリニック","064-0811","011-561-2511","北海道札幌市中央区南十一条西８－２－１　ドミ１６中島公園１階","http://www.myclinic.ne.jp/tashiron/pc/","診療所　個人"
"0110118445","特定健診","医療法人石山通内科クリニック","064-0807","011-551-3337","北海道札幌市中央区南７条西１１丁目１番１号","http://","診療所　医療法人"
"0110118460","特定健診・指導","社会医療法人北海道恵愛会札幌南三条病院","060-0063","011-233-3711","北海道札幌市中央区南三条西６－４－２","http://www.h-keiaikai.or.jp/minamisanjo/","病院　医療法人"
"0110118643","特定健診・指導","医療法人社団札幌循環器クリニック札幌循環器病院","060-0011","011-747-6660","北海道札幌市中央区北十一条西１４－２９－１５","http://www.s-junkanki.or.jp","病院　医療法人"
"0110118676","特定健診","土田内科・循環器科クリニック","064-0811","011-512-2020","北海道札幌市中央区南１１条西２１－４－３３","http://homepage3.nifty.com/320617","診療所　個人"
"0110118726","特定健診","社会医）愛心館愛心内科消化器科クリニック","060-8503","011-209-5265","北海道札幌市中央区北５条西２　ＪＲタワーオフィスプラザさっぽろ８Ｆ","http://www.aishinkan.jp/nsc/index.html","診療所　医療法人"
"0110118858","特定健診","クリニック・イン・ザ・モーニング","060-0004","011-611-2005","北海道札幌市中央区北四条西１６－１－３　栗林幌西ビル１Ｆ","http://www.fortune-favoured.jp","診療所　個人"
"0110118965","特定健診","医療法人社団伏見内科","064-0919","011-513-2430","北海道札幌市中央区南十九条西１４－１－４","","診療所　医療法人"
"0110119070","特定健診・指導","医療法人渓仁会渓仁会円山クリニック","064-0820","011-611-7766","北海道札幌市中央区大通西２６－３－１６","http://www.keijinkai.com/maruyama/","診療所　医療法人"
"0110119104","特定健診","医療法人日之出内科クリニック","060-0061","011-200-7757","北海道札幌市中央区南一条西４－１３　日之出ビル７階","","診療所　医療法人"
"0110119146","特定健診・指導","医療法人社団唯円会円山公園内科","064-0820","011-633-0123","北海道札幌市中央区大通西２８－３－２２","http://www.manbow.co.jp/","診療所　医療法人"
"0110119237","特定健診","医療法人社団大空会大道内科・呼吸器科クリニック","060-0003","011-233-8111","北海道札幌市中央区北三条西４－１－１　日本生命札幌ビル３Ｆ","http://www.ohmichi.or.jp","診療所　医療法人"
"0110119245","特定健診・指導","医療法人社団さっぽろ幌西クリニック","064-0809","011-551-3315","北海道札幌市中央区南九条西１５－３－３０","http://www12.plala.or.jp/kousaiclinic/","診療所　医療法人"
"0110119377","特定健診","医療法人社団芳春会大通公園循環器クリニック","060-0042","011-251-3555","北海道札幌市中央区大通西５　昭和ビル５階","","診療所　医療法人"
"0110119500","特定健診","オアシスレディースクリニック","064-0922","011-512-2525","北海道札幌市中央区南二十二条西１１－１－４８　山鼻メディカルビル４Ｆ","http://www.dosanko-c.com/oasis/","診療所　個人"
"0110119518","特定健診・指導","公益財団法人北海道労働保健管理協会札幌総合健診センター","060-0062","011-222-0710","北海道札幌市中央区南２条西２－１８－１　ＮＢＦ札幌南二条ビル","http://www.roudouhoken.or.jp","診療所　その他の法人"
"0110119674","特定健診・指導","医療法人社団明日佳札幌健診センタ－","064-0810","011-531-2226","北海道札幌市中央区南１０条西１丁目１番３０号ホテルライフォート札幌５階","http://www.asuka-qp.or.jp/kenshin","診療所　医療法人"
"0110119732","特定健診","佐野内科医院","064-0805","011-561-0288","北海道札幌市中央区南５条西１５丁目１－６","http://www.sano-naika-clinic.com","診療所　個人"
"0110119773","特定健診","宮の森メンタルクリニック","064-0825","011-633-6233","北海道札幌市中央区北５条西２７丁目３－１２ネオア－ジュ円山２階","http://www.miyanomorimental.com","診療所　個人"
"0110119815","特定健診","医）社団こうの内科円山エルムクリニック","064-0820","011-631-1181","北海道札幌市中央区大通西２５丁目１番２号ハートランド円山ビル２階","http://","診療所　医療法人"
"0110120003","特定健診・指導","やまはな野村内科クリニック","064-0915","011-520-3360","北海道札幌市中央区南１５条西１４丁目１－２２マックスバリュ南１５条店２階","http://www.dosanko-c.com/yamahana-nomuraclinic/","診療所　個人"
"0110210846","特定健診","かとう内科小兒科","065-0023","011-721-5855","北海道札幌市東区北２３条東１－８－１４","","診療所　個人"
"0110211562","特定健診","医療法人啓生会病院","065-0027","011-781-9321","北海道札幌市東区北二十七条東２０－５－２５","","病院　医療法人"
"0110212982","特定健診","横山内科医院","002-8030","011-771-1611","北海道札幌市北区篠路十条２－１１－２２","http://kenshin-db.nigh.go.jp/","診療所　個人"
"0110213048","特定健診・指導","社会医療法人延山会北成病院","001-0933","011-764-3021","北海道札幌市北区新川西三条２－１０－１","http://www.hokusei-hp.or.jp/","病院　医療法人"
"0110213154","特定健診・指導","医療法人野中整形外科内科病院","001-0925","011-763-0110","北海道札幌市北区新川５条４－２－８","","病院　医療法人"
"0110213329","特定健診","医療法人社団翔嶺館札幌優翔館病院","002-8043","011-772-9211","北海道札幌市北区東茨戸５０－９","http://www.shoreikan.jp","病院　医療法人"
"0110213535","特定健診","社会医療法人憲仁会牧田病院","001-0901","011-761-4835","北海道札幌市北区新琴似一条２－６－２５","http://www.makita-hp.com","病院　医療法人"
"0110213873","特定健診・指導","医療法人徳洲会札幌東徳洲会病院","065-0033","011-722-1110","北海道札幌市東区北３３条東１４－３－１","http://www.higashi-tokushukai.or.jp","病院　医療法人"
"0110214061","特定健診・指導","札幌心臓血管・透析クリニック","007-0848","011-753-2101","北海道札幌市東区北四十八条東８－１－１","http://www.hokueikai.com/","診療所　医療法人"
"0110214343","特定健診","医療法人研成会札幌鈴木病院","001-0903","011-709-5511","北海道札幌市北区新琴似三条１－１－２７","","病院　医療法人"
"0110214350","特定健診・指導","医療法人社団英仁会札苗病院","007-0807","011-783-3311","北海道札幌市東区東苗穂七条２－８－２０","","病院　医療法人"
"0110214533","特定健診","医療法人新産健会きた在宅クリニック","001-0924","011-763-1111","北海道札幌市北区新川四条１１－１－２７","https://zaitakui.shinsankenkai.or.jp/clinic/kita/","診療所　医療法人"
"0110214574","特定健診","医療法人社団赤倉内科胃腸内科クリニック","060-0807","011-728-2320","北海道札幌市北区北七条西６－２","","診療所　医療法人"
"0110214608","特定健診","医）社団萌水会ＭＯＥ内科循環器クリニック","002-8022","011-771-6162","北海道札幌市北区篠路２条４丁目６番３０号","http://","診療所　医療法人"
"0110214707","特定健診","医療法人社団佐藤診療所","001-0012","011-716-1637","北海道札幌市北区北十二条西２－１","http://hw001.gate01.com/ysatomac/sato_clinic.htm","診療所　医療法人"
"0110214723","特定健診","医療法人社団元町整形外科","065-0021","011-781-6151","北海道札幌市東区北二十一条東１６－１－１１","","診療所　医療法人"
"0110214889","特定健診","医療法人社団こすげ内科医院","002-0852","011-771-6101","北海道札幌市北区屯田二条３－８－１０","","診療所　医療法人"
"0110214897","特定健診","医療法人社団池田内科","001-0901","011-764-8833","北海道札幌市北区新琴似一条１３－１－７","","診療所　医療法人"
"0110214947","特定健診・指導","医療法人社団札幌百合の会病院","002-8081","011-771-1501","北海道札幌市北区百合が原１１－１８６","http://www.yurinokai.jp","病院　医療法人"
"0110214954","特定健診","医療法人社団さとう小児科医院","001-0025","011-756-5007","北海道札幌市北区北二十五条西５－１－１","http://www.myclinic.ne.jp/taguchi5/pc/","診療所　医療法人"
"0110214988","特定健診","医療法人社団阿部内科医院","001-0903","011-761-2395","北海道札幌市北区新琴似三条１１－７－２４","http://www.abe-naika.com/","診療所　医療法人"
"0110215118","特定健診","医療法人社団小谷内科医院","001-0023","011-736-2588","北海道札幌市北区北二十三条西４－２－３３","http://www.myclinic.ne.jp/odani/pc/","診療所　医療法人"
"0110215225","特定健診・指導","かしま内科クリニック","002-8072","011-778-7031","北海道札幌市北区あいの里二条３－１６－７","http://www13.plala.or.jp/kashimanaika/","診療所　個人"
"0110215407","特定健診","太田内科循環器クリニック","001-0906","011-762-0777","北海道札幌市北区新琴似六条１４－２－１","http://kenshin-db.niph.go.jp/","診療所　個人"
"0110215431","特定健診・指導","医療法人社団大蔵会札幌佐藤病院","007-0862","011-781-5511","北海道札幌市東区伏古２条４－１０－１５","http://www.s-sato-hp.jp/","病院　医療法人"
"0110215514","特定健診","医療法人社団布施川内科医院","001-0907","011-764-2411","北海道札幌市北区新琴似七条１４－４－２３","http://www.husegawa-naika.com","診療所　医療法人"
"0110215522","特定健診・指導","医療法人社団小林内科小児科医院","001-0028","011-716-8531","北海道札幌市北区北２８条西５－２－１６","","診療所　医療法人"
"0110215589","特定健診","医療法人社団宮本内科","060-0807","011-756-1511","北海道札幌市北区北七条西２　東京建物ビル３Ｆ","","診療所　医療法人"
"0110215597","特定健診","ひまわり内科小児科医院","002-8066","011-771-8551","北海道札幌市北区拓北六条２－６－１８","","診療所　個人"
"0110215613","特定健診・指導","医療法人耳鼻咽喉科麻生病院","007-0840","011-731-4133","北海道札幌市東区北四十条東１－１－７","http://www.jibiazabu.or.jp","病院　医療法人"
"0110215761","特定健診","医療法人社団三草会クラーク病院","065-0042","011-782-2866","北海道札幌市東区本町二条４－８－２０","http://www.sansoukai.or.jp","病院　医療法人"
"0110215779","特定健診","医療法人彰和会北海道消化器科病院","065-0041","011-784-1811","北海道札幌市東区本町一条１－２－１０","http://www.hgh.or.jp","病院　医療法人"
"0110215787","特定健診","医療法人社団八田内科","065-0025","011-751-2548","北海道札幌市東区北二十五条東１５－４－２７","","診療所　医療法人"
"0110215829","特定健診","小児科高橋医院","001-0910","011-765-3820","北海道札幌市北区新琴似１０条８丁目３番１号","http://","診療所　個人"
"0110215845","特定健診・指導","医療法人社団司馬内科クリニック","007-0841","011-722-8111","北海道札幌市東区北四十一条東２－３－１４　ノースメディカルビル","","診療所　医療法人"
"0110215951","特定健診","医療法人二樹会足立外科整形外科クリニック","007-0850","011-752-1166","北海道札幌市東区北五十条東７－６－１５","","診療所　医療法人"
"0110216108","特定健診","辻外科医院","001-0026","011-716-8631","北海道札幌市北区北二十六条西７－１－１","","診療所　個人"
"0110216116","特定健診","医療法人社団札幌道都病院","065-8555","011-731-1155","北海道札幌市東区北１７条東１４－３－２","http://www.doto.org","病院　医療法人"
"0110216124","特定健診・指導","医療法人社団ふるや内科","002-0854","011-771-2211","北海道札幌市北区屯田四条３－２－１０","http://www.sagashitenet.com","診療所　医療法人"
"0110216181","特定健診","医療法人社団川島医院","065-0011","011-711-9965","北海道札幌市東区北十一条東１０－１","","診療所　医療法人"
"0110216199","特定健診","あいの里内科ファミリークリニック","002-8071","011-778-7111","北海道札幌市北区あいの里一条６－２－２","","診療所　医療法人"
"0110216215","特定健診・指導","社会医療法人豊生会東苗穂病院","007-0803","011-784-1121","北海道札幌市東区東苗穂三条１－２－１８","http://www.niph.go.jp/","病院　医療法人"
"0110216256","特定健診","医療法人社団美加未会モエレ外科胃腸科","007-0812","011-791-7711","北海道札幌市東区東苗穂１２条３丁目２１－３","http://www.mcl.or.jp/","診療所　医療法人"
"0110216314","特定健診","医療法人社団太黒胃腸科病院","001-0011","011-716-9161","北海道札幌市北区北十一条西３－３－１８","","病院　医療法人"
"0110216348","特定健診・指導","北光記念病院","065-0027","011-722-1133","北海道札幌市東区北二十七条東８－１－６","http://www.hokko.or.jp","病院　医療法人"
"0110216355","特定健診","恒心堂整形外科医院","007-0808","011-791-6622","北海道札幌市東区東苗穂八条３－２－１","","診療所　医療法人"
"0110216389","特定健診","医療法人社団いけだクリニック","002-8072","011-778-2721","北海道札幌市北区あいの里二条８－４－５","","診療所　医療法人"
"0110216462","特定健診・指導","屯田ホームクリニック","002-0865","011-775-1112","北海道札幌市北区屯田６条１０－７－２５","","診療所　個人"
"0110216504","特定健診","医療法人社団新琴似内科クリニック","001-0908","011-761-1076","北海道札幌市北区新琴似八条６－１－１","http://www.myclinic.ne.jp/shink_clinic/pc/","診療所　医療法人"
"0110216546","特定健診・指導","社会医療法人社団愛心館愛心メモリアル病院","065-0027","011-752-3535","北海道札幌市東区北２７条東１－１－１５","http://www.aishinkan.jp/","病院　医療法人"
"0110216637","特定健診","医療法人社団谷村医院サンクリニック","065-0019","011-731-7226","北海道札幌市東区北１９条東８－５－２","","診療所　医療法人"
"0110216660","特定健診","医療法人社団鈴木内科循環器クリニック","065-0012","011-731-5366","北海道札幌市東区北十二条東１２－２－５","","診療所　医療法人"
"0110216686","特定健診","医療法人社団野沢医院","065-0017","011-741-3535","北海道札幌市東区北十七条東１－２－２５","http://www.spmed.jp/","診療所　医療法人"
"0110216694","特定健診・指導","公益財団法人北海道対がん協会札幌がん検診センター","065-0026","011-748-5511","北海道札幌市東区北２６条東１４－１－１５","http://www.hokkaido-taigan.jp/","診療所　その他の法人"
"0110216876","特定健診","医療法人社団石田内科小児科医院","065-0030","011-753-0380","北海道札幌市東区北三十条東１３－３－１０","","診療所　医療法人"
"0110216892","特定健診","医療法人社団朋佑会札幌産科婦人科","002-0856","011-774-0303","北海道札幌市北区屯田六条２－１１－１","http://www11.plala.or.jp/houyukai/","診療所　医療法人"
"0110217072","特定健診・指導","医療法人社団和仁会平田内科クリニック","001-0024","011-756-2220","北海道札幌市北区北二十四条西１４－３－１５","http://www.myclinic.ne.jp/hirata_n/pc/","診療所　医療法人"
"0110217106","特定健診","医療法人社団荒木病院","002-8023","011-771-5731","北海道札幌市北区篠路三条２－１－９２","http://www.araki-hospital.jp","病院　医療法人"
"0110217163","特定健診","医療法人社団岡田内科呼吸器科クリニック","007-0872","011-787-2171","北海道札幌市東区伏古十二条５－８－２２","","診療所　医療法人"
"0110217171","特定健診","医療法人社団ゆりがはら内科ケア＆クリニック","002-8081","011-770-7111","北海道札幌市北区百合が原７－４－２５","","診療所　医療法人"
"0110217270","特定健診","医療法人社団麻生内科クリニック","001-0039","011-756-5733","北海道札幌市北区北三十九条西５－１－１５　北電商販サトウビル３Ｆ","http://kenshin.niph.go.jp/kenshin/","診療所　医療法人"
"0110217346","特定健診","医療法人社団ポプラ小児科医院","065-0012","011-711-7425","北海道札幌市東区北十二条東７－１７","","診療所　医療法人"
"0110217429","特定健診","北大前北１８条メンタルクリニック","001-0018","011-746-6616","札幌市北区北１８条西３丁目２１－２４ＭＩＣビル７Ｆ","http://www.geocities.jp/kita18mc","診療所　個人"
"0110217460","特定健診","医療法人社団小林皮膚科クリニック","060-0807","011-738-5511","北海道札幌市北区北七条西４　宮澤ビル２Ｆ","http://www3.ocn.ne.jp/~kobaclin","診療所　医療法人"
"0110217478","特定健診","公益社団法人北海道勤労者医療協会勤医協伏古１０条クリニック","007-0870","011-786-5588","北海道札幌市東区伏古十条３－２","http://www.kin-ikyo.or.jp/","診療所　その他の法人"
"0110217494","特定健診","医療法人社団健志会しのろ駅前医院","002-8024","011-774-8388","北海道札幌市北区篠路四条６－１１－１７","http://www.shinoro.or.jp","診療所　医療法人"
"0110217536","特定健診","エルムの杜内科クリニック","001-0018","011-708-0003","北海道札幌市北区北十八条西７－１－１","http://www.elm.gr.jp","診療所　個人"
"0110217544","特定健診・指導","勤医協札幌北区ぽぷらクリニック","001-0910","011-762-8811","北海道札幌市北区新琴似十条２－１","http://www.kin-ikyo.or.jp/","診療所　その他の法人"
"0110217619","特定健診","にしはら内科クリニック","065-0030","011-721-2486","北海道札幌市東区北三十条東１－４－１","http://www.myclinic.ne.jp/nishihara_c/","診療所　個人"
"0110217650","特定健診","服部ファミリークリニック","001-0911","011-766-7767","北海道札幌市北区新琴似十一条１７－１－２３","","診療所　個人"
"0110217668","特定健診","医療法人社団吉田医院","002-8025","011-771-2020","北海道札幌市北区篠路五条５－７－１","","診療所　医療法人"
"0110217718","特定健診・指導","公益財団法人　北海道結核予防会","060-0808","011-700-1331","北海道札幌市北区北八条西３－２８　札幌エルプラザ５階","http://www.JATA-H.com","診療所　その他の法人"
"0110217734","特定健診","社会医療法人北楡会開成病院","001-0033","011-757-2201","北海道札幌市北区北三十三条西６－２－３５","","病院　医療法人"
"0110217759","特定健診・指導","医療法人母恋天使病院","065-8611","011-711-0101","北海道札幌市東区北１２条東３－１－１","http://www.tenshi.or.jp","病院　医療法人"
"0110217791","特定健診","医療法人社団西沢内科胃腸科クリニック","065-0016","011-784-2340","北海道札幌市東区北十六条東１６－１－１３　北愛メディカルビル３階","","診療所　医療法人"
"0110217932","特定健診","医療法人社団Ｈ・Ｎ・メディックさっぽろ東","065-0019","011-723-6660","北海道札幌市東区北１９条東７丁目１番２６号","http://","診療所　医療法人"
"0110217940","特定健診","医療法人社団眞明会今医院","001-0025","011-716-9255","北海道札幌市北区北二十五条西８－２－３","http://www.kon-clinic.com","診療所　医療法人"
"0110218005","特定健診","医）さっぽろ麻生乳腺甲状腺クリニック","001-0038","011-709-3700","北海道札幌市北区北三十八条西８－２－３","","診療所　医療法人"
"0110218088","特定健診","医療法人社団石川内科医院","065-0023","011-751-2750","北海道札幌市東区北二十三条東９－１－２７","","診療所　医療法人"
"0110218112","特定健診","医療法人社団北２０条内科クリニック","001-0020","011-758-8080","北海道札幌市北区北二十条西６－２－１０","http://www.n20clinic.jp","診療所　医療法人"
"0110218138","特定健診","総合診療クリニック","001-0029","011-746-3988","北海道札幌市北区北二十九条西４－２－１－１５８","http://psgroup.jimbo.com/","診療所　医療法人"
"0110218237","特定健診","北海道医療大学病院","002-8072","011-778-7575","北海道札幌市北区あいの里２条５","http://www.hoku-iryo-u.ac.jp/~hospital/","病院　大学病院(私立)"
"0110218351","特定健診","医療法人はまなす篠路はまなすクリニック","002-8024","011-776-3030","北海道札幌市北区篠路４条９丁目１２番４５号","http://www.hamanasugeka.com","診療所　医療法人"
"0110218500","特定健診","医療法人社団札幌新川駅前内科","001-0925","011-708-1234","北海道札幌市北区新川５条１－１－２２","http://www.sinhp.jp","診療所　医療法人"
"0110218518","特定健診","小林内科クリニック","001-0038","011-709-5885","北海道札幌市北区北三十八条西２－２－１７","","診療所　医療法人"
"0110218559","特定健診・指導","医療法人社団谷口内科","065-0021","011-783-7701","北海道札幌市東区北二十一条東１８－５－１１","","診療所　医療法人"
"0110218583","特定健診","医療法人社団藤田医院","065-0020","011-711-8084","北海道札幌市東区北二十条東１３－１－２","http://fuzita-clinic.com/","診療所　医療法人"
"0110218617","特定健診","医療法人社団北匠会札幌北脳神経外科","001-0906","011-766-1212","北海道札幌市北区新琴似六条１７－７－１０","http://kitanouge.com","診療所　医療法人"
